"id","name","short_description","parent_id","category","category_name","updated"
"aws_data_xchng","AWS Data Exchange","3rd party data by Amazon",,"database","Database","2020-05-20T18:57:36.991Z"
"aws_deeplens","AWS DeepLens","Machine learning by Amazon",,"productivity","Productivity","2020-05-30T19:59:56.225Z"
"aws_devicefarm","AWS Device Farm","Device app testing service by Amazon",,"remoting","Remoting","2020-05-20T19:00:36.330Z"
"aws_directconnect","AWS Direct Connect","Dedicated network connections by Amazon",,"remoting","Remoting","2020-05-20T19:01:36.124Z"
"aws_directory_service","AWS Directory Service","Managed Active Directory by Amazon",,"networking","Networking","2020-05-20T19:03:08.680Z"
"aws_dms","AWS Database Migration Service","Database migration service by Amazon",,"database","Database","2020-05-20T19:03:32.250Z"
"aws_firewall_mgr","AWS Firewall Manager","Security management service by Amazon",,"remoting","Remoting","2020-05-20T19:03:52.989Z"
"aws_global_accel","AWS Global Accelerator","Route optimization service by Amazon",,"networking","Networking","2020-05-20T19:04:56.465Z"
"aws_glue","AWS Glue","Managed extract, transform, and load service by Amazon",,"database","Database","2020-05-20T19:05:30.047Z"
"aws_groundstation","AWS Ground Station","Managed satellite communication service by Amazon",,"remoting","Remoting","2020-05-20T19:06:29.217Z"
"aws_health","AWS Health","Health services by Amazon",,"remoting","Remoting","2020-05-20T19:08:48.305Z"
"aws_iam","AWS Identity and Access Management","Identify and access management service by Amazon",,"remoting","Remoting","2020-05-20T19:09:13.010Z"
"aws_iot_1click","AWS IoT 1-Click","IoT trigger service by Amazon",,"remoting","Remoting","2020-05-20T19:09:51.721Z"
"aws_iot_analytics","AWS IoT Analytics","IoT analytics service by Amazon",,"database","Database","2020-05-20T19:10:19.566Z"
"aws_iot_core","AWS IoT Core","Cloud managed IoT devices service by Amazon",,"remoting","Remoting","2020-05-20T19:10:42.822Z"
"aws_iot_events","AWS IoT Events","IoT event management service by Amazon",,"database","Database","2020-05-20T19:11:07.927Z"
"aws_iot_greengrass","AWS IoT Greengrass","IoT edge device service by Amazon",,"cloud","Cloud","2020-05-20T19:12:23.215Z"
